"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312520117183/0001193125-20-117183.txt","0001193125-20-117183","0001193125-20-117183.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312520117183/0001193125-20-117183.txt","2020-04-23","2020-04-21","4/23/2020 8:15:51 PM","34","8-K","001-06880","20811187","5.07","XBRL","269486","1","1","d917205d8k.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120003968/0001387131-20-003968.txt","0001387131-20-003968","0001387131-20-003968.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120003968/0001387131-20-003968.txt","2020-04-17","2020-04-17","4/17/2020 7:01:40 PM","34","8-K","001-02979","20799215","9.01","XBRL","923521","1","1","wfc-8k_041720.htm","CURRENT REPORT"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000070/0000713676-20-000070.txt","0000713676-20-000070","0000713676-20-000070.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000070/0000713676-20-000070.txt","2020-04-15","2020-04-15","4/15/2020 4:11:25 PM","34","8-K","001-09718","20793065","2.02,8.01,9.01","XBRL","6540087","1","1","q120208-kfs.htm","8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000119312520107589/0001193125-20-107589.txt","0001193125-20-107589","0001193125-20-107589.txt","./www.sec.gov/Archives/edgar/data/0000036104/000119312520107589/0001193125-20-107589.txt","2020-04-15","2020-04-15","4/15/2020 10:52:01 AM","34","8-K","001-06880","20792561","2.02,9.01","XBRL","11649143","1","1","d916785d8k.htm","8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000071367620000068/0000713676-20-000068.txt","0000713676-20-000068","0000713676-20-000068.txt","./www.sec.gov/Archives/edgar/data/0000713676/000071367620000068/0000713676-20-000068.txt","2020-04-15","2020-04-15","4/15/2020 10:46:07 AM","34","8-K","001-09718","20792556","2.02,9.01","XBRL","1213154","1","1","q120208-kfh.htm","8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000007085820000018/0000070858-20-000018.txt","0000070858-20-000018","0000070858-20-000018.txt","./www.sec.gov/Archives/edgar/data/0000070858/000007085820000018/0000070858-20-000018.txt","2020-04-15","2020-04-15","4/15/2020 10:46:04 AM","34","8-K","001-06523","20792555","2.02,7.01,9.01","XBRL","17123012","1","1","bac-033120208xk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120003874/0001387131-20-003874.txt","0001387131-20-003874","0001387131-20-003874.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120003874/0001387131-20-003874.txt","2020-04-14","2020-04-14","4/14/2020 7:04:15 PM","34","8-K","001-02979","20791137","9.01","XBRL","558116","1","1","wfc-8k_041420.htm","CURRENT REPORT"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000230/0000072971-20-000230.txt","0000072971-20-000230","0000072971-20-000230.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000230/0000072971-20-000230.txt","2020-04-14","2020-04-14","4/14/2020 11:46:22 AM","34","8-K","001-02979","20790073","2.02,8.01,9.01","XBRL","14134289","1","1","wfc1qer04-14x20form8xk.htm","8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000007297120000227/0000072971-20-000227.txt","0000072971-20-000227","0000072971-20-000227.txt","./www.sec.gov/Archives/edgar/data/0000072971/000007297120000227/0000072971-20-000227.txt","2020-04-09","2020-04-08","4/9/2020 6:33:26 PM","34","8-K","001-02979","20783995","8.01,9.01","XBRL","1203222","1","1","wfc04-09x20form8xk.htm","FORM 8-K"
"70858","https://www.sec.gov/Archives/edgar/data/0000070858/000119312520101412/0001193125-20-101412.txt","0001193125-20-101412","0001193125-20-101412.txt","./www.sec.gov/Archives/edgar/data/0000070858/000119312520101412/0001193125-20-101412.txt","2020-04-08","","4/8/2020 8:32:05 PM","34","DEFA14A","001-06523","20782278","","DEFA14A","48863","0","0","d915696ddefa14a.htm","DEFA14A"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000138713120003782/0001387131-20-003782.txt","0001387131-20-003782","0001387131-20-003782.txt","./www.sec.gov/Archives/edgar/data/0000072971/000138713120003782/0001387131-20-003782.txt","2020-04-08","2020-04-08","4/8/2020 7:02:52 PM","34","8-K","001-02979","20781878","9.01","XBRL","691133","1","1","wfc-8k_040820.htm","CURRENT REPORT"
