"CIK","Uri","AccessionNumber","FileName","OutFile","FilingDate","ReportDate","AcceptanceDateTime","Act","Form","FileNumber","FilmNumber","Items","Core_type","Size","IsXBRL","IsInlineXBRL","PrimaryDocument","PrimaryDocDescription"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509245746/0001193125-09-245746.txt","0001193125-09-245746","0001193125-09-245746.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509245746/0001193125-09-245746.txt","2009-12-02","2009-12-02","12/2/2009 5:19:01 PM","34","8-K","001-02979","091216731","9.01","8-K","103173","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509240334/0001193125-09-240334.txt","0001193125-09-240334","0001193125-09-240334.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509240334/0001193125-09-240334.txt","2009-11-23","2009-11-17","11/23/2009 9:37:11 PM","34","8-K","001-02979","091202122","5.02,5.04,5.05,9.01","8-K","289803","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509239308/0001193125-09-239308.txt","0001193125-09-239308","0001193125-09-239308.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509239308/0001193125-09-239308.txt","2009-11-20","2009-11-17","11/20/2009 9:47:16 PM","34","8-K","001-09718","091199187","5.04","8-K","20019","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509237623/0001193125-09-237623.txt","0001193125-09-237623","0001193125-09-237623.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509237623/0001193125-09-237623.txt","2009-11-18","2009-11-18","11/18/2009 9:44:57 PM","34","8-K","001-02979","091193819","8.01,9.01","8-K","89692","0","0","d8k.htm","FORM 8-K"
"36104","https://www.sec.gov/Archives/edgar/data/0000036104/000095012309059477/0000950123-09-059477.txt","0000950123-09-059477","0000950123-09-059477.txt","./www.sec.gov/Archives/edgar/data/0000036104/000095012309059477/0000950123-09-059477.txt","2009-11-06","2009-09-30","11/6/2009 10:29:47 PM","34","10-Q","001-06880","091165897","","10-Q","9450306","1","0","c52971e10vq.htm","FORM 10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000095012309059235/0000950123-09-059235.txt","0000950123-09-059235","0000950123-09-059235.txt","./www.sec.gov/Archives/edgar/data/0000072971/000095012309059235/0000950123-09-059235.txt","2009-11-06","2009-09-30","11/6/2009 8:14:45 PM","34","10-Q","001-02979","091164508","","10-Q","8408647","1","0","f53317e10vq.htm","FORM 10-Q"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509227195/0001193125-09-227195.txt","0001193125-09-227195","0001193125-09-227195.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509227195/0001193125-09-227195.txt","2009-11-06","2009-09-30","11/6/2009 6:59:48 PM","34","10-Q","001-09718","091164039","","10-Q","9074726","1","0","d10q.htm","FORM 10-Q"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509227150/0001193125-09-227150.txt","0001193125-09-227150","0001193125-09-227150.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509227150/0001193125-09-227150.txt","2009-11-06","2009-11-06","11/6/2009 6:42:24 PM","34","8-K","001-02979","091163900","9.01","8-K","120331","0","0","d8k.htm","FORM 8-K"
"713676","https://www.sec.gov/Archives/edgar/data/0000713676/000119312509227062/0001193125-09-227062.txt","0001193125-09-227062","0001193125-09-227062.txt","./www.sec.gov/Archives/edgar/data/0000713676/000119312509227062/0001193125-09-227062.txt","2009-11-06","2009-11-06","11/6/2009 5:55:59 PM","34","8-K","001-09718","091163695","2.02,9.01","8-K","1724992","0","0","d8k.htm","FORM 8-K"
"72971","https://www.sec.gov/Archives/edgar/data/0000072971/000119312509226988/0001193125-09-226988.txt","0001193125-09-226988","0001193125-09-226988.txt","./www.sec.gov/Archives/edgar/data/0000072971/000119312509226988/0001193125-09-226988.txt","2009-11-06","2009-11-06","11/6/2009 5:15:35 PM","34","8-K","001-02979","091163553","9.01","8-K","95685","0","0","d8k.htm","FORM 8-K"
